surname,region,religion,caste_group
# North India – Hindu General
sharma,North,Hindu,General
verma,North,Hindu,General
gupta,North,Hindu,General
agarwal,North,Hindu,General
agrawal,North,Hindu,General
mishra,North,Hindu,General
tiwari,North,Hindu,General
pandey,North,Hindu,General
tripathi,North,Hindu,General
shukla,North,Hindu,General
dwivedi,North,Hindu,General
chaturvedi,North,Hindu,General
srivastava,North,Hindu,General
sinha,North,Hindu,General
jha,North,Hindu,General
thakur,North,Hindu,General
rajput,North,Hindu,General
chauhan,North,Hindu,General
singh,North,Hindu,General
yadav,North,Hindu,OBC
maurya,North,Hindu,OBC
kushwaha,North,Hindu,OBC
kurmi,North,Hindu,OBC
patel,West,Hindu,OBC
lodhi,North,Hindu,OBC
saini,North,Hindu,OBC
jat,North,Hindu,General
meena,North,Hindu,ST
khatik,North,Hindu,SC
chamar,North,Hindu,SC
valmiki,North,Hindu,SC
pasi,North,Hindu,SC
# North India – Muslim
khan,North,Muslim,General
ansari,North,Muslim,OBC
siddiqui,North,Muslim,General
sheikh,North,Muslim,General
qureshi,North,Muslim,OBC
sayyid,North,Muslim,General
hashmi,North,Muslim,General
farooqui,North,Muslim,General
mirza,North,Muslim,General
malik,North,Muslim,General
akhtar,North,Muslim,General
hussain,North,Muslim,General
ali,North,Muslim,General
ahmad,North,Muslim,General
ahmed,North,Muslim,General
# North India – Sikh
singh,North,Sikh,General
kaur,North,Sikh,General
gill,North,Sikh,General
grewal,North,Sikh,General
dhaliwal,North,Sikh,General
sandhu,North,Sikh,General
brar,North,Sikh,General
sidhu,North,Sikh,General
randhawa,North,Sikh,General
bajwa,North,Sikh,General
khatri,North,Sikh,General
# West India – Gujarat
patel,West,Hindu,General
shah,West,Hindu,General
desai,West,Hindu,General
mehta,West,Hindu,General
joshi,West,Hindu,General
trivedi,West,Hindu,General
bhatt,West,Hindu,General
parekh,West,Hindu,General
thakkar,West,Hindu,General
solanki,West,Hindu,OBC
vankar,West,Hindu,SC
makwana,West,Hindu,SC
parmar,West,Hindu,General
chauhan,West,Hindu,General
rathod,West,Hindu,OBC
baria,West,Hindu,ST
# West India – Maharashtra
patil,West,Hindu,General
deshmukh,West,Hindu,General
kulkarni,West,Hindu,General
deshpande,West,Hindu,General
joshi,West,Hindu,General
gaikwad,West,Hindu,SC
jadhav,West,Hindu,OBC
shinde,West,Hindu,OBC
more,West,Hindu,OBC
mane,West,Hindu,OBC
pawar,West,Hindu,General
bhosale,West,Hindu,General
salunkhe,West,Hindu,OBC
chavan,West,Hindu,OBC
kamble,West,Hindu,SC
# South India – Tamil Nadu
kumar,South,Hindu,General
murugan,South,Hindu,OBC
rajan,South,Hindu,General
krishnan,South,Hindu,General
subramaniam,South,Hindu,General
iyer,South,Hindu,General
iyengar,South,Hindu,General
nadar,South,Hindu,OBC
thevar,South,Hindu,OBC
pillai,South,Hindu,General
nair,South,Hindu,General
gounder,South,Hindu,OBC
chettiar,South,Hindu,General
mudaliar,South,Hindu,General
palaniswamy,South,Hindu,OBC
paraiyar,South,Hindu,SC
adi dravidar,South,Hindu,SC
# South India – Karnataka
gowda,South,Hindu,OBC
hegde,South,Hindu,General
rao,South,Hindu,General
bhat,South,Hindu,General
nayak,South,Hindu,OBC
reddy,South,Hindu,General
naik,South,Hindu,OBC
lingayat,South,Hindu,OBC
vokkaliga,South,Hindu,OBC
kodagu,South,Hindu,General
# South India – Andhra / Telangana
reddy,South,Hindu,General
naidu,South,Hindu,General
rao,South,Hindu,General
sharma,South,Hindu,General
yadav,South,Hindu,OBC
kapu,South,Hindu,OBC
kamma,South,Hindu,General
velama,South,Hindu,General
mala,South,Hindu,SC
madiga,South,Hindu,SC
# South India – Kerala
nair,South,Hindu,General
menon,South,Hindu,General
namboothiri,South,Hindu,General
pillai,South,Hindu,General
varma,South,Hindu,General
ezhava,South,Hindu,OBC
thiyya,South,Hindu,OBC
pulaya,South,Hindu,SC
joseph,South,Christian,General
thomas,South,Christian,General
mathew,South,Christian,General
george,South,Christian,General
varghese,South,Christian,General
kurian,South,Christian,General
# East India – Bengal
chatterjee,East,Hindu,General
mukherjee,East,Hindu,General
banerjee,East,Hindu,General
ganguly,East,Hindu,General
bose,East,Hindu,General
dey,East,Hindu,General
ghosh,East,Hindu,General
roy,East,Hindu,General
das,East,Hindu,SC
mondal,East,Hindu,OBC
biswas,East,Hindu,OBC
sarkar,East,Hindu,General
chakraborty,East,Hindu,General
sen,East,Hindu,General
# East India – Odisha
panda,East,Hindu,General
mohanty,East,Hindu,General
mishra,East,Hindu,General
patnaik,East,Hindu,General
nanda,East,Hindu,General
sahu,East,Hindu,OBC
# East India – Bihar / Jharkhand
kumar,North,Hindu,General
sinha,North,Hindu,General
thakur,North,Hindu,General
paswan,North,Hindu,SC
manjhi,North,Hindu,SC
mahto,North,Hindu,OBC
# Northeast India
borah,Northeast,Hindu,General
gogoi,Northeast,Hindu,General
das,Northeast,Hindu,General
sharma,Northeast,Hindu,General
kalita,Northeast,Hindu,General
basumatary,Northeast,Hindu,ST
khongmen,Northeast,Other,ST
meitei,Northeast,Hindu,General
# Jain surnames (typically West)
jain,West,Jain,General
singhvi,West,Jain,General
kothari,West,Jain,General
oswal,West,Jain,General
# Parsi
irani,West,Zoroastrian,General
gandhi,West,Zoroastrian,General
